hmdb_id,smiles,pubchem_cid,inchikey
HMDB0000239,CC1=NC=C(C(=C1O)CO)CO,1054,LXNHXLLTXMVWPM-UHFFFAOYSA-N
HMDB0000240,OS(=O)O,1100,LSNNMFCWUKXFEE-UHFFFAOYSA-N
HMDB0000241,CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C=C,4971,ZCFFYALKHPIRKJ-UHFFFAOYSA-N
HMDB0000244,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO)O)O)O,493570,AUNGANRZJHBGPY-SCRDCRAPSA-N
HMDB0000248,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)C[C@@H](C(=O)O)N,5819,XUIIKFGFIJCVMT-LBPRGKRZSA-N
HMDB0000250,OP(=O)(O)OP(=O)(O)O,1023,XPPKVPWEQAFLFU-UHFFFAOYSA-N
HMDB0000251,C(CS(=O)(=O)O)N,1123,XOAAWQZATWQOTB-UHFFFAOYSA-N
HMDB0000254,C(CC(=O)O)C(=O)O,1110,KDYFGRWQOYBRFD-UHFFFAOYSA-N
HMDB0000256,CC(=CCC/C(=C/CC/C(=C/CC/C=C(\C)/CC/C=C(/C)\CCC=C(C)C)/C)/C)C,11975273,YYGNTYWPHWGJRM-FLHYQJCXSA-N
HMDB0000257,OS(=O)(=S)O,24478,DHCDFWKWKRSZHF-UHFFFAOYSA-N
HMDB0000258,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O,5988,CZMRCDWAGMRECN-UGDNZRGBSA-N
HMDB0000262,CC1=CNC(=O)NC1=O,1135,RWQNBRDOKXIBIV-UHFFFAOYSA-N
HMDB0000263,C=C(C(=O)O)OP(=O)(O)O,1005,DTBNBXWJWCWCIK-UHFFFAOYSA-N
